     ____
    / _  |   Frida 17.17.0 - A world-class dynamic instrumentation toolkit
   | (_| |
    > _  |   Commands:
   /_/ |_|       help      -> Displays the help system
   . . . .       object?   -> Display information about 'object'
   . . . .       exit/quit -> Exit
   . . . .
   . . . .   Prefer a GUI? Luma is the official Frida app, with a live REPL,
   . . . .   persistent sessions & collaboration. https://luma.frida.re/
   . . . .
   . . . .   Connected to iPhone (id=00008150-00093DA00ABB401C)
Spawning `com.oceanwing.SoundCore.G8AW4BQ7RV`...

==================== PROCESS ====================
frida       : 17.17.0
pid / arch  : 6592 / arm64
page size   : 16384
objc avail  : true

==================== MODULES OF INTEREST ====================
    GEOLegacyVisualLocalizationTileRequester
    GEOLiveTileRequester
    GEOLocationShiftRequest
    GEOLocationShiftingCachedResponseFetchRequest
    GEOLocationShiftingEnabledRequest
    GEOLocationShiftingFlushCacheRequest
    GEOLocationShiftingFunctionRequest
    GEOLocationShiftingIsRequiredRequest
    GEOLocationShiftingListCacheRequest
    GEOLocationShiftingPruneCacheRequest
    GEOLocationShiftingVersionRequest
    GEOLogMessageCollectionRequest
    GEOLogMsgEventDirectionsRequestDetails
    GEOLogMsgEventNetwork
    GEOLogMsgEventNetworkEventSummary
    GEOLogMsgEventNetworkSelectionHarvest
    GEOLogMsgStatePlaceRequest
    GEOMAResourceCalculateFreeableSizeRequest
    GEOMAResourceFetchRequest
    GEOMAResourcePurgeCacheToSizeRequest
    GEOMIFAutocompleteRequest
    GEOMIFAutocompleteRequestParameters
    GEOMapItemInitialRequestData
    GEOMapQueryCollectionRequest
    GEOMapRequest
    GEOMapRequestManager
    GEOMapSubscriptionAddRequest
    GEOMapSubscriptionCancelDownloadRequest
    GEOMapSubscriptionContainmentRequest
    GEOMapSubscriptionFetchLastUpdatedDateRequest
    GEOMapSubscriptionFetchPairedDeviceAvailableOfflineStorageRequest
    GEOMapSubscriptionFetchPairedDeviceSubscriptionsSummaryRequest
    GEOMapSubscriptionFetchSubscriptionsForWatchSyncRequest
    GEOMapSubscriptionForceUpdateRequest
    GEOMapSubscriptionGetIdentifiersForPairedDeviceSyncRequest
    GEOMapSubscriptionGetPairedDeviceSubscriptionsToObserveRequest
    GEOMapSubscriptionHandlePairedDeviceSubscriptionStateUpdateRequest
    GEOMapSubscriptionRemoveRequest
    GEOMapSubscriptionSetPairedDeviceSubscriptionsSummaryRequest
    GEOMapSubscriptionSetPairedDeviceSyncRequest
    GEOMapSubscriptionSizeEstimationCancelRequest
    GEOMapSubscriptionSizeEstimationRequest
    GEOMapSubscriptionStartDownloadRequest
    GEOMapSubscriptionStateRequest
    GEOMapSubscriptionStateStartObservingRequest
    GEOMapSubscriptionStateStopObservingRequest
    GEOMapSubscriptionTotalOfflineDataSizeReply
    GEOMapSubscriptionTotalOfflineDataSizeRequest
    GEOMapSubscriptionsFetchRequest
    GEOMapsURLShortenerRequest
    GEOMatchedToken
    GEOMuninHEIFTextureRequester
    GEOMuninMeshRequester
    GEOMuninTileRequester
    GEONetworkDataReader
    GEONetworkDefaults
    GEONetworkEventData
    GEONetworkEventDataRecorder
    GEONetworkEventFile
    GEONetworkEventFileManager
    GEONetworkObserver
    GEONetworkServiceRequesterOperation
    GEONetworkSessionTaskTransactionMetrics
    GEOOfflineContourLinesTileRequester
    GEOOfflineDataCheckExistenceRequest
    GEOOfflineDataFetchAvailableKeysRequest
    GEOOfflineDataFetchRequest
    GEOOfflineDataKeysServiceRequester
    GEOOfflineDataRequest
    GEOOfflineDataRequester
    GEOOfflineDataSizeEstimationServiceRequester
    GEOOfflineDirectionsServiceRequesterOperation
    GEOOfflineIdentifiedMapDataRequester
    GEOOfflinePlacesServiceRequesterOperation
    GEOOfflineServiceRequest
    GEOOfflineServiceRequestCancel
    GEOOfflineServiceRequesterOperation
    GEOOfflineServiceSetStateRequest
    GEOOfflineServiceStateFetchStateRequest
    GEOOfflineServiceStateSubscribeRequest
    GEOOfflineTileConfigurationFetchRequest
    GEOOfflineVectorTileRequester
    GEOOfflineVersionMetadataFetchRequest
    GEOPBOfflineDataBatchesRequest
    GEOPBOfflineDataBatchesSizeRequest
    GEOPBOfflineRequestMetadata
    GEOPDAllGuidesLocationsSectionHeader
    GEOPDAnnotatedItemList
    GEOPDAnnotatedItemListFilter
    GEOPDDisplayHeaderSubstitute
    GEOPDFollowUpRequestMetadata
    GEOPDHeaderButtonsConfiguration
    GEOPDMIFAutocompleteRequest
    GEOPDMIFAutocompleteRequestParameters
    GEOPDPlaceRequest
    GEOPDPlaceRequestParameters
    GEOPDPlacesRequestResponseAnalyticsData
    GEOPDSInferredSignals
    GEOPDSSearchStructureIntentRequestType
    GEOPDSearchAddressLabeledToken
    GEOPDSearchEnrichmentRequestMetadata
    GEOPDSearchQueryGeoTagMetadata
    GEOPDSearchQueryTokenImportanceMetadata
    GEOPDSearchQueryTokenizerMetadata
    GEOPDSearchSpellerRequest
    GEOPDSearchToken
    GEOPDSearchTokenCandidate
    GEOPDSearchTokenCandidates
    GEOPDSearchTokenForm
    GEOPDSearchTokenImportance
    GEOPDSearchTokenSet
    GEOPDSearchTokenSpan
    GEOPDSearchTokenSynonymMetadata
    GEOPDToken
    GEOPDTokenSet
    GEOPDTokenizerResult
    GEOPDTokenizerResultFilter
    GEOPairedDeviceCheckinRequest
    GEOPairedDeviceCheckinWithSubscriptionStateSummaryRequest
    GEOPairedDeviceConfigureSubscriptionShouldSyncRequest
    GEOPairedDeviceFetchGeoIPCCRequest
    GEOPairedDeviceGetStorageInfoRequest
    GEOPairedDeviceServiceRequest
    GEOPairedDeviceSubscriptionStartStopDownloadRequest
    GEOPairedDeviceSubscriptionStateSynchronizationRequest
    GEOPlaceByIdentifiersRequest
    GEOPlaceByPhoneNumberRequest
    GEOPlaceCachePlaceRequest
    GEOPlaceCalculateFreeableSpaceRequest
    GEOPlaceCancelRequest
    GEOPlaceCardRequester
    GEOPlaceClearCacheRequest
    GEOPlaceDataRequestConfig
    GEOPlaceDataRequester
    GEOPlaceFetchCacheRequest
    GEOPlaceFetchURLCacheRequest
    GEOPlaceFreeSpaceRequest
    GEOPlacePlaceRequestExtrasRegistered
    GEOPlaceRegisterPlaceRequestExtras
    GEOPlaceRequestMessage
    GEOPlaceSearchFeedbackRequest
    GEOPlaceSearchRequest
    GEOPolyLocationShiftRequest
    GEOPolygonSelectionSimpleTileRequester
    GEOQuickETARequest
    GEOQuickETARequester
    GEORPFeedbackFieldAnnotations
    GEORPFeedbackFieldOptionAnnotations
    GEORPFeedbackFormFieldAnnotations
    GEORPFeedbackRequest
    GEORPFeedbackRequestParameters
    GEORPFeedbackRequester
    GEORPIncidentAnnotationDetails
    GEORPLegacyProblemRequester
    GEORPPlaceRequestResponse
    GEORPProblemCollectionRequest
    GEORPProblemOptInRequest
    GEORPProblemOptInRequestConfig
    GEORPProblemOptInRequester
    GEORPProblemRequest
    GEORPProblemStatusRequest
    GEORPTdmFraudRequestInfo
    GEORRRequestResponseEvent
    GEORegionalResourcesTileRequester
    GEORequestCountPowerLogger
    GEORequestCounter
    GEORequestCounterCacheAddEntry
    GEORequestCounterCacheGetResults
    GEORequestCounterCacheGetResultsReply
    GEORequestCounterCacheResults
    GEORequestCounterInfo
    GEORequestCounterLocalProxy
    GEORequestCounterLogInfo
    GEORequestCounterPersistence
    GEORequestCounterProactiveTileDownloadInfo
    GEORequestCounterProactiveTileDownloadPolicyInfo
    GEORequestCounterRemoteProxy
    GEORequestCounterStatistics
    GEORequestCounterTicketBase
    GEORequestOption
    GEORequestOptions
    GEORequestResponseMetadata
    GEORequestResponseMetadataRecorder
    GEORequestResponsePersistedEvent
    GEORequestResponsePersister
    GEORequestThrottler
    GEOResourceFetchRequest
    GEOResourceManifestActivateFilterRequest
    GEOResourceManifestDeactivateFilterRequest
    GEOResourceManifestUpdateAssertionXPCCheckinRequest
    GEOResourceRequester
    GEOResourceRequesterRemoteProxy
    GEORoadSelectionSimpleTileRequester
    GEORouteAnnotation
    GEORouteHypothesisRequest
    GEOS2MapTileRequester
    GEOSearchRequest
    GEOServiceRequestDefaultConfig
    GEOServiceRequester
    GEOSignGuidance
    GEOSignGuidanceFeedback
    GEOSignedResource
    GEOSignificantLocation
    GEOSimpleTileRequester
    GEOSpatialLookupBatchRequest
    GEOSpatialLookupRequest
    GEOSpatialLookupRequestConfig
    GEOSpatialLookupRequester
    GEOStorageRouteRequestStorage
    GEOTargetLayout
    GEOTaskQueue
    GEOThrottlerIsSafeRequest
    GEOThrottlerRequester
    GEOTileRequest
    GEOTileRequestBalancer
    GEOTileRequester
    GEOToolRequester
    GEOTrafficSignal
    GEOTransitRouteUpdateRequest
    GEOTransitRouteUpdateRequestSimple
    GEOTransitRouteUpdateRequester
    GEOTransitSignInstruction
    GEOTransitUpdateRequester
    GEOTransitVehicleUpdateRequester
    GEOURLComponentsWithHeaders
    GEOURLWithHeaders
    GEOUtilityCheckinWithPairedDeviceRequest
    GEOUtilityDefaultNavigationStateRequest
    GEOVectorTileRequest
    GEOVisualLocalizationMetadataTileRequester
    GEOVisualLocalizationTileRequester
    GEOVoltaireSimple3DTileRequester
    GEOVoltaireSputnikMetadataTileRequester
    GEOVoltaireTileRequester
    GEOWiFiQualityNetworkSearch
    GEOWiFiQualityNetworkSearchResult
    GEOWiFiQualityServiceRequest
    GEOXPCDirectionsRequest
    GEOXPCRequest
    GEOZilchDecoderRequest
    GHCCRelayAccessToken
    GMSSchemaGMSModelRequestContext
    GMSSchemaGMSModelRequestEnded
    GMSSchemaGMSModelRequestFailed
    GMSSchemaGMSModelRequestStarted
    GNNetworkClient
    GNSPlaybackTokenCache
    GNSPlaybackTokenCacheKey
    GNSPlaybackTokenPCMData
    GNSTokenBroadcasterParams
    GNSTokenListenerParams
    GRPCURLSessionTransportInternal.RequestPartOutputStreamBridge
    GULNetwork
    GULNetworkInfo
    GULNetworkURLSession
    GenerativeFunctions.JsonTokenStream
    GenerativeFunctions.StreamingObjectTokenStreamProcessor
    GenerativeFunctionsInstrumentation.PartnerCloudRequestProcessor
    HENetwork
    HKAuthorizationPresentationRequest
    HKAuthorizationRequestRecord
    HKChangesSyncRequest
    HKCloudSyncRequest
    HKContextSyncRequest
    HKFeatureAvailabilityRequirementNotAgeGatedForUserDefaultsKey
    HKFeatureAvailabilityRequirementOnboardingNotAcknowledged
    HKHealthWrapCodableMessageHeader
    HKHealthWrapCodablePayloadHeader
    HKHealthWrapEncryptor
    HKMedicalIDSyncRequest
    HKRecalibrateEstimatesRequestRecord
    HKSignedClinicalDataItem
    HKSignedClinicalDataRecord
    HKSignedClinicalDataRecordType
    HKSignedClinicalDataSubject
    HKSignedClinicalDataUtilities
    HKStateSyncRequest
    HKSummarySharingSyncRequest
    HKUserAnnotatedMedication
    HKUserAnnotatedMedicationQuery
    HKUserAnnotatedMedicationQueryConfiguration
    HKUserAnnotatedMedicationType
    HMAccessCodeAddRequest
    HMAccessCodeAddRequestValue
    HMAccessCodeConstraints
    HMAccessCodeManager
    HMAccessCodeModificationResponse
    HMAccessCodeModificationResponseValue
    HMAccessCodeRemoveRequest
    HMAccessCodeRemoveRequestValue
    HMAccessCodeUpdateRequest
    HMAccessCodeUpdateRequestValue
    HMAccessCodeUserInformation
    HMAccessCodeUserInformationValue
    HMAccessCodeValue
    HMAccessControl
    HMAccessory
    HMAccessoryAccessCode
    HMAccessoryAccessCodeConstraintsFetchResponse
    HMAccessoryAccessCodeConstraintsFetchResponseValue
    HMAccessoryAccessCodeFetchResponse
    HMAccessoryAccessCodeFetchResponseValue
    HMAccessoryAccessCodeValue
    HMAccessoryAdvertisementInfo
    HMAccessoryAllowedHost
    HMAccessoryBrowser
    HMAccessoryCapabilities
    HMAccessoryCategory
    HMAccessoryCollectionSetting
    HMAccessoryCollectionSettingItem
    HMAccessoryDataSetting
    HMAccessoryDiagnosticInfo
    HMAccessoryDiagnosticInfoProtoAppleMediaAccessoryDiagnosticInfo
    HMAccessoryDiagnosticInfoProtoCloudInfo
    HMAccessoryDiagnosticInfoProtoCurrentAccessoryInfo
    HMAccessoryDiagnosticInfoProtoDiagnosticInfo
    HMAccessoryDiagnosticInfoProtoIdsInfo
    HMAccessoryDiagnosticInfoProtoPrimaryResidentDiagnosticInfo
    HMAccessoryDiagnosticInfoProtoSetupInfo
    HMAccessoryDiagnosticInfoProtoVisibleDeviceInfo
    HMAccessoryDiagnosticsMetadata
    HMAccessoryDiagnosticsOptions
    HMAccessoryEventTopic
    HMAccessoryInfoAccount
    HMAccessoryInfoDataProvider
    HMAccessoryInfoFetchController
    HMAccessoryInfoMediaState
    HMAccessoryInfoPrimaryUser
    HMAccessoryInfoProtoAccountInfoEvent
    HMAccessoryInfoProtoAirportInfoEvent
    HMAccessoryInfoProtoMediaStateEvent
    HMAccessoryInfoProtoNetworkInfoEvent
    HMAccessoryInfoProtoNetworkServiceEvent
    HMAccessoryInfoProtoPrimaryUserInfoEvent
    HMAccessoryInfoProtoPublicPairingIdentity
    HMAccessoryInfoProtoSleepWakeStateEvent
    HMAccessoryInfoProtoSoftwareVersionInfoEvent
    HMAccessoryInfoProtoWifiNetworkInfoEvent
    HMAccessoryInfoSleepWakeState
    HMAccessoryInfoSoftwareVersion
    HMAccessoryInfoWifiInfo
    HMAccessoryInvitation
    HMAccessoryLastSeenStatus
    HMAccessoryLinkQualityResult
    HMAccessoryNetworkAccessViolation
    HMAccessoryNetworkProtectionGroup
    HMAccessoryNumberSetting
    HMAccessoryOwnershipToken
    HMAccessoryProfile
    HMAccessorySelectionSetting
    HMAccessorySelectionSettingItem
    HMAccessorySetting
    HMAccessorySettingConstraint
    HMAccessorySettingFetchResult
    HMAccessorySettingGroup
    HMAccessorySettings
    HMAccessorySettingsAdapter
    HMAccessorySettingsController
    HMAccessorySettingsDataSource
    HMAccessorySettingsFetchRequestMessagePayload
    HMAccessorySettingsFetchResponseMessagePayload
    HMAccessorySettingsMessageDispatcherFinishSendingMessageEvent
    HMAccessorySettingsMessageDispatcherStartSendingMessageEvent
    HMAccessorySettingsMessenger
    HMAccessorySettingsMetricsDispatcher
    HMAccessorySettingsPartialFetchFailureInformation
    HMAccessorySettingsUpdateRequestMessagePayload
    HMAccessorySetupCompletedInfo
    HMAccessorySetupCoordinator
    HMAccessorySetupManager
    HMAccessorySetupPayload
    HMAccessorySetupRequest
    HMAccessorySetupResult
    HMAccessorySoftwareUpdateControllerV2
    HMAccessoryStringSetting
    HMAccessoryWiFiController
    HMAction
    HMActionSet
    HMActionSetBuilder
    HMAddAccessoryRequest
    HMAddAccessoryRequestPayload
    HMAttributeReadRequest
    HMAttributeRequest
    HMAttributeWriteRequest
    HMBatchRequest
    HMCameraClipCryptoUtilities
    HMCameraClipSignificantEvent
    HMCameraSignificantEvent
    HMCameraSignificantEventPersonFamiliarityNotificationCondition
    HMCameraSignificantEventReasonNotificationCondition
    HMCharacteristicBatchRequest
    HMCharacteristicReadRequest
    HMCharacteristicRequest
    HMCharacteristicWriteRequest
    HMDeviceSetupRequestMessage
    HMDeviceSetupSessionExchangeDataRequest
    HMEraseAnisetteDataRequest
    HMExecuteRequest
    HMExecuteTurnOffRequest
    HMFHTTPRequest
    HMFHTTPRequestHandler
    HMFHTTPRequestInternal
    HMFMutableHTTPRequest
    HMFNetworkBrowser
    HMFNetworkDiagnostic
    HMFNetworkDiagnosticCollector
    HMFNetworkDiagnosticPing
    HMFNetworkService
    HMFNetworkServiceInfo
    HMFObjectCacheHMAccessoryCategory
    HMFWiFiNetworkInfo
    HMFWifiNetworkAssociation
    HMFetchAnisetteDataRequest
    HMHomeNetworkInfo
    HMLegacyAnisetteDataRequest
    HMMMClientRequestHandlerOptions
    HMMMRequestOptions
    HMMediaDestinationControllerRequestMessagePayload
    HMMediaGroupStageRequestPayload
    HMMutableSignificantTimeEvent
    HMNetworkConfigurationProfile
    HMNetworkConfigurationWiFiOptions
    HMNetworkRouterFirewallRuleManager
    HMNetworkRouterWANStatus
    HMNetworkRouterWANStatusList
    HMPendingRequests
    HMProvisionAnisetteDataRequest
    HMRequestBase
    HMSignificantTimeEvent
    HMSyncAnisetteDataRequest
    HMThreadNetworkMetadata
    HSActivityRequest
    HSArtworkRequest
    HSAuthorizedDSIDsUpdateRequest
    HSAuthorizedDSIDsUpdatesRequest
    HSBrowseRequest
    HSCheckInRentalAssetRequest
    HSCheckOutRentalAssetRequest
    HSContainersRequest
    HSDatabasesRequest
    HSFairPlaySetupRequest
    HSGetAuthorizedAccountsInfoRequest
    HSGetAuthorizedAccountsTokenRequest
    HSGetAuthorizedAccountsTokenResponse
    HSHomeSharingVerifyRequest
    HSIncrementRequest
    HSItemDataRequest
    HSItemsRequest
    HSLoginRequest
    HSLogoutRequest
    HSNowPlayingArtworkRequest
    HSPlayStatusUpdateRequest
    HSPlaybackControlRequest
    HSRequest
    HSServerInfoRequest
    HSSetPropertyRequest
    HSSetRentalPlaybackStartDateRequest
    HSUpdateRequest
    HTHangRequest
    HealthKit.DarwinNotificationObserverToken
    HomeKitClips.CloudQuotaManager
    IAGCipheredData
    IASignalAnalytics
    IASignalAnalyticsObject
    ICAddToWishListRequest
    ICAuthServiceClientTokenProviderDebugConfiguration
    ICAuthorizeMachineRequest
    ICAuthorizeMachineURLRequest
    ICBuyProductRequest
    ICCloudContentTasteRequestListener
    ICContentKeyNonceRequest
    ICDateHeadersUtilities
    ICDelegateToken
    ICDelegationConsumerServiceRequest
    ICDelegationConsumerServiceSessionRequestInfo
    ICDelegationConsumerServiceSessionRequestResult
    ICDelegationPlayInfoRequest
    ICDelegationPlayInfoRequestOperation
    ICDelegationPlayInfoResponseToken
    ICDelegationPlayInfoTokenRequest
    ICDeveloperTokenDefaultProvider
    ICDeveloperTokenFetchRequest
    ICDocCamNonRotatableViewController
    ICIAMLogEventRequest
    ICIAMSerialCheckRequest
    ICIAMSynchronizeMessagesRequest
    ICInAppMessageSyncRequest
    ICInAppReportEventRequest
    ICJSSign
    ICJSSignConfiguration
    ICLibraryAuthServiceBulkClientTokenRequest
    ICLibraryAuthServiceBulkClientTokenResponse
    ICLibraryAuthServiceClientTokenIdentifier
    ICLibraryAuthServiceClientTokenProvider
    ICLibraryAuthServiceClientTokenRequest
    ICLibraryAuthServiceClientTokenResponse
    ICLibraryAuthServiceClientTokenResult
    ICLibraryAuthServiceClientTokenStatus
    ICLightweightMusicSubscriptionStatusRequest
    ICMatchRedownloadRequest
    ICMediaAssetDownloadRequest
    ICMediaRedownloadRequest
    ICMusicAccountNotificationsSettingsRequestOperation
    ICMusicKitRequestContext
    ICMusicKitTokensResponse
    ICMusicKitURLRequest
    ICMusicLibraryAuthToken
    ICMusicLibraryAuthTokenStatus
    ICMusicRestoreRequest
    ICMusicRestoreRequestParameters
    ICMusicSubscriptionAccountlessPlaybackRequest
    ICMusicSubscriptionLeasePlaybackRequest
    ICMusicSubscriptionPlaybackRequestOperation
    ICMusicSubscriptionPlaybackURLRequest
    ICMusicSubscriptionRecommendationsRequest
    ICMusicSubscriptionRequest
    ICMusicSubscriptionStatusRemoteRequesting
    ICMusicSubscriptionStatusRequest
    ICMusicSubscriptionStatusRequestOperation
    ICMusicUserTokenCache
    ICMusicUserTokenFetchRequest
    ICMutableNetworkConstraints
    ICNetworkConstraints
    ICPBDGSFinishDelegationRequest
    ICPBDGSPlayerDelegateInfoToken
    ICPBDGSPlayerInfoContextRequestToken
    ICPBDGSPlayerInfoContextToken
    ICPBDGSRequest
    ICPBDGSStartDelegationRequest
    ICPlayInfoRequest
    ICPurchaseRedownloadRequest
    ICPushNotificationsDisableTypesRequest
    ICPushNotificationsEnableTypesRequest
    ICPushNotificationsRegisterAPNSTokenRequest
    ICRadioFetchMetadataRequest
    ICRadioGetTracksRequest
    ICRadioURLRequest
    ICRemoteRequestOperation
    ICRemoteRequestOperationController
    ICRemoteRequestOperationExecuting
    ICRemoteRequestOperationExecutionContext
    ICRemoteRequestOperationExecutionResponse
    ICRequestContext
    ICRequestOperation
    ICSAPSessionSignDataOperation
    ICSAPSessionVerifySignatureOperation
    ICSTokenizer
    ICSagaGetAccountStatusRequest
    ICSecureKeyDeliveryRequest
    ICSecureKeyDeliveryRequestOperation
    ICSetParentalControlRequestOperation
    ICSiriAddToAccousticHistoryRequest
    ICSongDownloadDoneRequest
    ICStorePlatformRequest
    ICStorePlatformRequestOperation
    ICStoreRequestContext
    ICStoreURLRequest
    ICStoreURLRequestBuilderProperties
    ICSubscriptionRedownloadRequest
    ICSuzeLeaseRequest
    ICURLRequest
    ICUpdateAutomaticDownloadMediaKindsRequest
    ICUserAuthenticationValidationRequest
